orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp,ms
288.13,82.56,94.50,-0.92,-1.33,-0.69,-0.05,2.92,-0.99,9.66,1.66,-1.09,9.72,-1.25,-0.09,27,10.3
289.00,82.88,101.19,-0.94,-1.31,-0.77,0.13,3.28,-1.05,10.05,2.35,-1.25,9.73,-1.09,-0.36,27,11.4
289.94,83.19,173.50,-0.94,-1.32,-0.87,0.82,3.38,-0.58,10.56,2.38,-1.08,9.74,-1.00,-0.50,27,10.93
290.94,83.38,174.13,-0.96,-1.31,-0.99,1.21,3.23,-0.51,10.95,2.34,-1.15,9.74,-0.89,-0.63,27,13.76
292.06,83.56,174.75,-1.05,-1.23,-1.21,1.86,3.43,-0.67,11.61,2.66,-1.43,9.74,-0.77,-0.75,27,9.0
294.69,83.63,176.25,-1.11,-1.21,-1.33,2.72,3.20,-1.12,12.46,2.56,-1.99,9.74,-0.63,-0.87,27,9.21
296.13,83.44,177.06,-1.23,-1.19,-1.41,2.89,3.00,-0.73,12.98,2.85,-1.85,9.73,-0.34,-1.11,27,12.0
297.75,83.13,177.94,-1.38,-1.20,-1.45,3.24,3.19,-0.74,13.06,2.91,-1.54,9.72,-0.18,-1.23,27,10.14
299.50,82.69,171.38,-1.52,-1.20,-1.48,3.33,3.09,-0.31,13.13,3.34,-2.07,9.71,-0.02,-1.34,27,9.73
301.38,82.06,179.00,-1.71,-1.16,-1.54,3.24,3.04,-0.31,12.93,3.18,-1.77,9.69,0.14,-1.45,27,12.08
305.38,80.63,-168.44,-1.79,-1.13,-1.57,3.09,2.56,0.05,12.76,2.87,-1.50,9.67,0.31,-1.55,27,11.32
307.50,79.88,-163.31,-1.89,-1.07,-1.56,3.11,2.29,0.28,12.76,2.78,-1.36,9.65,0.49,-1.64,27,10.6
309.75,79.06,-158.75,-2.03,-0.99,-1.55,2.99,1.84,0.36,12.62,2.51,-1.36,9.62,0.67,-1.73,27,10.99
312.13,78.25,-154.56,-2.22,-0.91,-1.55,2.25,1.31,0.11,11.82,2.35,-1.74,9.57,1.04,-1.85,27,11.53
314.69,77.44,-150.69,-2.68,-0.87,-1.55,2.08,0.89,0.40,11.62,2.12,-1.50,9.53,1.23,-1.90,27,11.11
320.25,75.69,-143.69,-2.85,-0.90,-1.58,1.81,0.83,0.10,11.31,2.26,-1.84,9.50,1.43,-1.95,27,10.5
323.31,74.69,-140.56,-3.02,-0.95,-1.62,1.83,0.90,0.30,11.29,2.54,-1.69,9.46,1.63,-1.99,27,10.06
326.50,73.63,-137.56,-3.17,-1.01,-1.73,1.88,1.34,0.03,11.70,3.68,-2.34,9.35,2.09,-2.06,27,11.44
329.94,72.50,-134.56,-3.33,-1.02,-1.86,2.62,1.76,-0.78,11.91,4.10,-2.86,9.29,2.34,-2.07,27,11.4
333.56,71.38,-131.50,-3.73,-0.94,-2.06,3.70,2.98,-1.43,12.93,5.58,-3.50,9.22,2.60,-2.07,27,11.07
337.31,70.13,-128.50,-3.92,-0.88,-2.11,3.41,1.84,-0.90,12.56,4.71,-2.95,9.15,2.86,-2.04,27,10.55
345.25,67.69,-122.50,-4.08,-0.82,-2.12,3.76,2.33,-1.39,12.83,5.46,-3.39,9.07,3.13,-2.00,27,11.18
349.19,66.50,-119.63,-4.19,-0.73,-2.00,3.84,2.23,-1.07,12.45,5.47,-2.98,8.92,3.62,-1.84,27,11.64
353.06,65.44,-116.94,-4.23,-0.63,-1.83,3.53,1.84,-1.14,12.29,5.24,-2.68,8.85,3.84,-1.73,27,10.37
356.69,64.50,-114.31,-4.22,-0.53,-1.65,3.44,1.40,-0.94,11.80,4.75,-2.66,8.79,4.02,-1.61,27,10.88
359.94,63.75,-111.88,-4.00,-0.37,-1.38,3.09,0.09,-0.61,11.83,4.29,-2.10,8.73,4.20,-1.48,27,11.16
6.19,62.19,-107.19,-3.85,-0.30,-1.31,3.56,-0.54,-0.75,12.23,3.82,-2.10,8.67,4.36,-1.35,27,12.04
9.06,61.44,-104.88,-3.68,-0.11,-1.32,4.22,-0.73,-1.52,12.84,3.78,-2.73,8.55,4.67,-1.04,27,10.96
11.81,60.75,-102.50,-3.70,-0.01,-1.35,5.03,-0.63,-1.90,13.59,4.04,-2.94,8.49,4.81,-0.86,27,10.45
14.50,60.00,-100.13,-3.70,0.09,-1.34,5.68,-0.81,-2.98,14.52,4.54,-3.99,8.43,4.94,-0.67,27,11.29
17.06,59.38,-97.69,-3.51,0.35,-1.13,5.81,-0.68,-3.14,14.20,4.37,-3.62,8.38,5.06,-0.47,27,11.28
21.31,58.25,-92.94,-3.26,0.54,-0.97,5.08,-0.97,-3.08,13.42,4.17,-3.35,8.34,5.15,-0.26,27,11.81
22.94,57.81,-90.63,-2.94,0.73,-0.81,4.74,-1.46,-3.15,13.04,3.75,-3.21,8.30,5.22,-0.06,27,11.48
24.25,57.44,-88.38,-2.60,0.94,-0.68,4.61,-1.81,-3.47,12.88,3.46,-3.32,8.26,5.27,0.14,27,9.37
25.25,57.06,-86.19,-2.27,1.15,-0.60,4.61,-2.06,-3.76,12.76,2.69,-3.37,8.19,5.35,0.56,27,10.84
26.06,56.69,-83.94,-1.99,1.35,-0.58,4.29,-3.07,-3.96,12.44,2.31,-3.18,8.15,5.38,0.77,27,11.92
26.75,56.25,-81.75,-1.63,1.82,-0.59,4.33,-3.37,-4.11,12.44,2.05,-3.10,8.10,5.42,1.00,27,10.21
27.25,55.75,-79.44,-1.55,2.09,-0.61,4.01,-3.47,-4.06,12.07,1.97,-2.80,8.05,5.45,1.25,27,11.52
27.88,54.50,-74.50,-1.50,2.37,-0.65,4.08,-3.57,-4.30,12.07,1.90,-2.78,7.98,5.48,1.51,27,9.73
28.13,53.69,-71.88,-1.47,2.64,-0.71,4.32,-3.73,-4.88,12.37,2.03,-3.56,7.81,5.54,2.09,27,11.47
28.38,52.81,-69.25,-1.46,2.86,-0.76,4.79,-3.56,-6.27,12.49,2.00,-3.87,7.70,5.57,2.40,27,10.54
28.56,51.75,-66.63,-1.45,3.04,-0.79,4.97,-3.30,-6.74,12.55,2.29,-4.02,7.58,5.59,2.71,27,10.14
28.69,50.63,-64.06,-1.43,3.21,-0.80,5.02,-3.40,-7.19,12.46,2.20,-4.15,7.44,5.61,3.03,27,10.14
28.69,48.06,-59.13,-1.27,3.51,-0.70,4.74,-3.19,-7.59,12.04,2.43,-4.23,7.29,5.62,3.35,27,12.18
28.50,46.69,-56.88,-1.13,3.63,-0.62,4.83,-2.90,-7.89,11.97,2.72,-4.22,6.97,5.63,3.97,27,11.55
28.25,45.31,-54.75,-0.95,3.74,-0.56,4.76,-2.88,-8.09,11.74,2.74,-4.11,6.79,5.63,4.27,27,10.1
27.88,43.81,-52.81,-0.73,3.83,-0.50,4.69,-3.06,-8.01,11.47,2.33,-3.99,6.60,5.64,4.55,27,11.32
27.38,42.31,-51.06,-0.49,3.93,-0.42,4.97,-3.46,-9.03,11.37,2.18,-4.21,6.40,5.65,4.82,27,11.14
26.06,39.19,-48.13,-0.09,4.00,-0.25,5.10,-3.56,-9.11,11.30,2.09,-4.04,6.19,5.66,5.06,28,11.64
25.31,37.63,-46.94,0.07,4.00,-0.15,5.15,-4.14,-9.46,11.14,1.52,-4.16,5.98,5.67,5.30,28,10.14
24.44,36.06,-45.88,0.22,3.98,-0.01,5.22,-4.15,-9.80,11.00,1.52,-4.28,5.78,5.68,5.51,28,10.64
23.50,34.63,-44.88,0.35,3.92,0.14,5.54,-4.26,-9.98,11.06,1.22,-4.45,5.37,5.71,5.88,28,11.33
22.44,33.19,-44.06,0.48,3.85,0.29,5.54,-4.78,-10.52,10.73,0.93,-4.47,5.18,5.72,6.04,28,10.18
21.31,31.88,-43.38,0.70,3.62,0.62,5.64,-4.84,-10.58,10.64,0.89,-4.39,5.00,5.73,6.18,28,9.19
18.88,29.50,-42.31,0.83,3.50,0.75,5.68,-5.08,-10.72,10.51,0.66,-4.42,4.83,5.74,6.30,28,10.27
17.56,28.44,-41.94,0.95,3.39,0.87,5.50,-5.10,-10.88,10.17,0.66,-4.47,4.67,5.76,6.40,28,11.41
16.25,27.44,-41.69,1.05,3.29,0.95,5.48,-4.79,-10.72,9.88,1.46,-4.39,4.37,5.81,6.57,28,11.38
14.88,26.44,-41.50,1.15,3.21,0.98,5.50,-4.55,-11.05,9.72,1.30,-4.42,4.22,5.85,6.63,28,10.73
13.56,25.50,-41.44,1.25,3.15,0.98,5.50,-4.55,-11.05,9.59,1.66,-4.41,4.08,5.90,6.67,28,9.53
12.19,24.56,-41.44,1.39,3.12,1.03,5.82,-4.30,-10.94,9.77,1.66,-4.22,3.94,5.96,6.71,28,9.79
10.75,23.69,-41.63,1.64,3.11,1.18,6.02,-4.08,-10.94,9.83,1.93,-4.21,3.81,6.02,6.73,28,10.13
7.69,22.00,-42.06,1.72,3.16,1.28,6.00,-3.87,-10.58,9.68,2.21,-3.84,3.55,6.15,6.75,28,11.81
6.00,21.25,-42.31,1.79,3.24,1.43,6.04,-4.09,-10.35,9.60,2.06,-3.60,3.43,6.22,6.75,28,9.22
4.19,20.44,-42.63,1.85,3.33,1.61,6.16,-4.17,-10.09,9.59,2.05,-3.34,3.31,6.29,6.75,28,9.74
2.31,19.75,-42.94,1.88,3.44,1.77,6.53,-4.09,-9.78,10.03,2.20,-2.97,3.19,6.35,6.75,28,12.15
0.31,19.00,-43.25,1.86,3.62,1.98,7.10,-4.71,-8.94,10.18,1.70,-2.19,3.08,6.41,6.74,28,12.02
356.06,17.63,-43.81,1.86,3.71,2.06,7.33,-4.76,-9.10,10.30,1.71,-2.36,2.97,6.47,6.73,28,9.3
353.94,16.94,-44.13,1.86,3.77,2.10,7.98,-4.43,-8.73,10.84,2.10,-2.00,2.85,6.53,6.72,28,10.63
351.75,16.19,-44.50,1.86,3.81,2.09,7.99,-4.67,-8.25,10.73,1.92,-1.54,2.62,6.67,6.69,28,11.32
349.56,15.50,-44.88,1.88,3.87,2.07,8.22,-4.66,-7.80,11.71,2.39,-0.44,2.50,6.74,6.66,28,11.92
347.38,14.75,-45.31,1.90,3.95,2.04,9.84,-4.45,-7.06,12.21,2.36,-0.43,2.37,6.81,6.63,28,10.88
345.19,14.00,-45.75,1.89,4.02,1.97,10.59,-3.89,-7.08,12.83,2.99,-0.48,2.23,6.89,6.60,28,9.86
343.06,13.13,-46.19,1.80,4.09,1.89,10.68,-3.41,-6.85,12.77,3.54,-0.26,2.08,6.95,6.58,28,9.91
338.88,11.38,-46.88,1.50,4.27,1.74,10.90,-2.92,-6.18,12.83,4.09,0.38,1.93,7.02,6.56,28,11.04
336.81,10.38,-47.19,1.42,4.41,1.67,11.89,-2.22,-5.89,13.88,5.38,1.01,1.58,7.14,6.52,28,12.12
334.81,9.25,-47.56,1.38,4.60,1.50,12.30,-1.76,-5.51,14.49,6.66,2.05,1.36,7.20,6.50,28,9.59
332.81,8.00,-47.88,1.31,4.85,1.30,13.12,-0.54,-4.44,14.97,7.31,1.84,1.12,7.27,6.48,28,10.4
330.94,6.50,-48.25,1.21,5.16,1.10,14.56,1.71,-5.47,15.39,9.04,0.98,0.83,7.33,6.46,28,11.24
329.06,4.88,-48.56,0.91,5.88,0.48,14.31,4.17,-5.48,14.81,11.55,0.94,0.50,7.38,6.43,28,12.15
325.31,0.75,-49.44,1.17,6.54,0.56,-37.45,22.98,32.98,-37.31,30.44,39.35,0.13,7.45,6.36,28,11.19
323.88,-1.06,-49.81,0.64,5.37,0.12,11.33,-30.61,31.75,11.15,-23.12,38.08,-0.18,7.49,6.32,28,10.55
322.75,-3.19,-50.06,0.30,5.39,-0.56,-26.99,15.29,-15.90,9.11,33.29,11.18,-0.92,7.46,6.29,28,11.6
322.19,-5.38,-49.88,-0.61,4.69,-1.18,15.97,14.19,11.38,14.76,21.54,17.76,-1.21,7.34,6.38,28,11.29
320.44,-8.50,-48.00,-2.17,3.77,-0.09,10.47,22.14,2.41,9.02,29.35,8.89,-1.45,7.21,6.48,28,9.33
319.38,-9.88,-46.94,-2.35,3.68,-0.00,1.66,16.53,6.34,-0.01,23.60,12.93,-1.68,7.06,6.59,28,11.2
318.19,-11.06,-45.81,-2.55,3.51,0.39,-3.64,22.58,10.75,-5.53,29.49,17.45,-2.06,6.74,6.81,28,11.4
317.00,-12.13,-44.69,-2.60,3.28,0.56,-7.40,22.15,7.43,-9.96,26.16,13.51,-2.22,6.58,6.92,28,10.69
315.88,-13.13,-43.50,-2.65,2.92,0.48,-6.18,17.86,0.78,-8.56,24.25,7.83,-2.37,6.39,7.04,28,13.87
314.88,-14.00,-42.19,-3.29,2.23,0.33,-5.92,16.90,-0.48,-8.43,23.08,6.71,-2.50,6.17,7.19,28,9.82
313.13,-15.63,-38.75,-3.70,2.11,0.24,-5.59,15.64,-2.47,-8.24,21.55,4.88,-2.64,5.91,7.35,28,9.97
312.31,-16.44,-36.69,-4.09,2.05,0.11,-6.17,16.04,-3.57,-8.95,21.66,3.95,-2.92,5.29,7.71,28,11.72
311.56,-17.31,-34.44,-4.45,1.95,-0.01,-5.82,15.58,-3.00,-8.72,20.30,5.17,-3.07,4.93,7.89,28,11.77
310.88,-18.25,-31.94,-4.78,1.85,-0.11,-5.47,15.51,-2.53,-8.69,20.05,5.53,-3.22,4.54,8.07,28,10.41
310.25,-19.13,-29.31,-5.08,1.80,-0.22,-7.00,14.03,-3.18,-10.37,18.16,5.04,-3.37,4.13,8.22,28,10.79
309.06,-21.13,-23.94,-5.06,1.83,-0.38,-6.23,13.10,-2.02,-9.77,16.82,6.33,-3.53,3.71,8.35,28,12.26
308.75,-22.13,-21.19,-4.97,1.78,-0.69,-8.75,14.00,-4.55,-14.40,14.25,2.87,-3.86,2.84,8.55,28,10.44
308.56,-23.13,-18.38,-4.91,1.57,-0.96,-10.54,11.40,-5.68,-20.37,8.13,-0.15,-3.97,2.41,8.63,28,10.12
308.38,-23.88,-15.56,-4.78,1.10,-0.89,-16.39,5.72,-8.78,-17.16,8.56,-0.26,-4.01,2.02,8.71,28,11.77
308.13,-24.19,-13.00,-4.01,-0.31,-0.19,-10.22,8.04,-8.48,-14.22,9.71,0.31,-3.99,1.67,8.79,28,12.93
307.44,-23.56,-8.69,-3.60,-0.88,-0.19,-7.92,8.76,-8.74,-11.84,10.12,0.13,-3.82,1.06,8.96,28,11.8
307.31,-22.88,-6.75,-3.21,-1.23,-0.35,-8.13,8.60,-8.41,-11.95,9.66,0.55,-3.82,1.06,8.96,28,8.69
307.38,-22.19,-5.00,-2.88,-1.39,-0.54,-8.31,8.19,-7.79,-12.02,8.99,1.25,-3.58,0.53,9.11,28,11.71
307.50,-21.38,-3.31,-2.69,-1.46,-0.70,-7.56,6.17,-8.44,-11.01,6.45,0.73,-3.44,0.27,9.17,28,12.13
307.88,-19.56,-0.06,-2.64,-1.72,-0.86,-7.21,5.27,-8.11,-10.50,5.28,1.11,-3.29,0.01,9.23,28,12.36
308.13,-18.63,1.56,-2.68,-1.77,-0.90,-7.19,4.75,-7.65,-10.32,4.49,1.63,-3.13,-0.25,9.28,28,10.55
308.38,-17.63,3.19,-2.71,-1.77,-0.90,-6.92,3.60,-7.59,-9.89,3.07,1.73,-2.97,-0.52,9.33,28,11.08
308.63,-16.56,4.88,-2.72,-1.76,-0.91,-7.19,3.70,-6.41,-9.83,2.63,2.97,-2.64,-1.06,9.38,28,12.98
308.88,-15.56,6.44,-2.66,-1.63,-0.86,-7.54,3.63,-5.94,-10.02,2.30,3.45,-2.48,-1.33,9.39,28,9.0
309.31,-13.75,9.56,-2.61,-1.52,-0.87,-7.64,4.72,-5.46,-9.97,3.13,3.92,-2.33,-1.58,9.39,28,10.06
309.56,-12.88,11.06,-2.53,-1.39,-0.92,-7.51,5.23,-5.54,-9.70,3.39,3.83,-2.19,-1.83,9.38,28,11.19
309.94,-12.13,12.50,-2.43,-1.23,-1.00,-7.57,5.41,-5.22,-9.64,3.40,4.16,-1.94,-2.30,9.33,28,12.32
310.38,-11.38,13.88,-2.30,-1.04,-1.13,-7.89,5.74,-5.26,-9.72,3.21,4.03,-1.83,-2.52,9.29,28,10.01
310.88,-10.75,15.19,-1.97,-0.67,-1.44,-8.06,5.74,-5.50,-9.80,3.01,3.75,-1.73,-2.72,9.25,28,9.67
311.56,-10.19,16.38,-1.78,-0.51,-1.59,-8.00,5.44,-6.29,-9.64,2.52,2.92,-1.64,-2.91,9.21,28,11.84
313.13,-9.19,18.56,-1.61,-0.37,-1.72,-7.89,5.37,-6.55,-9.46,2.28,2.62,-1.56,-3.08,9.17,28,10.2
314.06,-8.69,19.50,-1.45,-0.25,-1.81,-7.73,5.27,-6.89,-9.03,1.79,1.88,-1.41,-3.38,9.09,28,11.9
315.00,-8.25,20.38,-1.34,-0.14,-1.87,-7.73,5.31,-7.58,-9.07,1.79,1.46,-1.34,-3.52,9.05,28,10.74
316.00,-7.88,21.25,-1.28,-0.04,-1.87,-7.76,5.52,-7.58,-9.05,1.86,1.42,-1.29,-3.65,9.00,28,10.49
317.00,-7.56,22.06,-1.27,0.06,-1.85,-7.56,5.67,-7.64,-8.80,1.88,1.31,-1.24,-3.78,8.96,28,10.22
318.94,-7.00,23.69,-1.19,0.29,-1.75,-6.98,5.57,-8.13,-8.18,1.66,0.77,-1.20,-3.91,8.91,28,11.45
319.88,-6.81,24.38,-1.11,0.39,-1.72,-6.95,5.62,-8.60,-8.16,1.83,-0.11,-1.13,-4.12,8.82,28,11.93
320.88,-6.63,25.06,-0.97,0.46,-1.76,-7.02,5.96,-8.93,-8.38,1.83,-0.50,-1.10,-4.21,8.78,28,9.68
321.94,-6.44,25.63,-0.80,0.49,-1.84,-7.27,6.05,-9.29,-8.84,2.84,-0.26,-1.06,-4.28,8.75,28,10.83
323.00,-6.19,26.06,-0.45,0.34,-1.98,-7.36,7.52,-9.06,-8.38,3.17,-0.33,-1.01,-4.34,8.73,28,12.01
325.31,-5.50,26.69,-0.32,0.25,-2.03,-6.88,7.74,-8.99,-7.83,3.35,-0.27,-0.94,-4.39,8.71,28,10.14
326.44,-5.06,26.94,-0.22,0.12,-2.05,-6.42,7.98,-8.89,-7.29,3.55,-0.19,-0.86,-4.42,8.70,28,10.22
327.56,-4.50,27.13,-0.15,-0.05,-2.04,-6.12,8.11,-8.90,-6.90,3.65,-0.20,-0.77,-4.45,8.70,28,9.82
328.69,-3.88,27.25,-0.10,-0.26,-2.06,-5.85,8.17,-8.84,-6.37,3.70,-0.05,-0.53,-4.49,8.69,28,11.33
329.75,-3.06,27.31,-0.02,-0.68,-2.22,-5.25,8.25,-8.58,-5.63,3.74,0.11,-0.38,-4.50,8.70,28,11.44
332.13,-1.13,27.38,0.04,-0.87,-2.38,-5.20,8.40,-8.24,-5.40,3.88,0.46,-0.20,-4.51,8.70,28,9.12
333.38,0.00,27.31,0.10,-1.03,-2.56,-5.12,8.43,-7.96,-5.13,3.93,0.74,0.00,-4.50,8.70,28,11.51
334.75,1.19,27.25,0.14,-1.16,-2.76,-5.15,8.51,-7.69,-5.22,4.27,1.43,0.44,-4.46,8.71,28,11.11
336.25,2.56,27.13,0.16,-1.24,-2.96,-5.67,8.74,-7.27,-5.45,4.46,1.81,0.69,-4.43,8.71,28,12.2
337.81,4.00,26.94,0.18,-1.31,-3.17,-6.50,9.10,-6.70,-5.54,4.70,2.00,0.95,-4.39,8.71,28,9.08
339.50,5.56,26.75,0.16,-1.44,-3.64,-8.10,9.78,-5.59,-6.87,5.44,3.11,1.23,-4.34,8.70,28,9.83
341.38,7.19,26.50,0.12,-1.49,-3.84,-9.35,9.99,-4.74,-7.83,5.71,3.94,1.51,-4.28,8.69,28,10.66
345.31,10.63,25.94,-0.00,-1.54,-4.03,-10.93,10.47,-3.83,-9.12,6.25,4.83,1.81,-4.21,8.66,28,10.93
347.44,12.44,25.69,-0.20,-1.59,-4.21,-16.96,13.42,0.86,-2.82,14.35,13.45,2.40,-4.08,8.58,28,10.65
349.69,14.19,25.44,-0.31,-1.45,-4.32,-5.22,18.44,4.86,4.19,-6.77,21.77,2.67,-4.00,8.54,28,10.73
351.94,15.81,25.13,-0.33,-1.22,-4.20,1.51,-2.76,13.22,33.97,16.33,36.25,2.84,-3.98,8.49,28,10.98
353.69,16.81,25.13,-0.06,-0.32,-2.19,11.24,-8.71,-1.08,14.19,-12.64,7.39,2.95,-3.92,8.48,28,11.0
356.75,17.75,23.13,1.87,1.09,-3.53,-11.91,-3.57,6.72,-8.92,-7.24,15.30,2.99,-3.67,8.58,28,12.22
358.50,18.06,20.69,3.26,0.78,-3.51,-5.45,18.45,4.87,-2.40,15.16,13.59,3.04,-3.29,8.71,28,9.28
0.00,18.88,18.00,3.75,-0.30,-3.39,-6.27,14.53,8.60,-3.10,11.65,17.42,3.32,-2.41,8.90,28,10.76
1.56,19.75,15.13,4.10,-0.65,-3.64,-5.30,10.99,7.73,-1.82,9.06,16.69,3.47,-1.93,8.96,28,11.97
3.31,20.75,12.13,3.59,-1.33,-3.95,-3.65,12.35,8.53,0.00,10.86,17.51,3.66,-1.48,8.97,28,10.8
6.75,23.19,6.94,2.96,-1.85,-3.81,7.76,16.05,7.93,11.63,14.96,16.88,3.86,-1.08,8.94,28,10.05
8.56,24.69,4.88,2.08,-2.28,-3.77,18.37,19.34,8.82,22.47,18.58,17.70,4.09,-0.76,8.87,28,10.04
10.69,26.19,3.31,0.95,-2.43,-4.22,21.36,14.04,9.78,21.53,7.67,20.18,4.52,-0.31,8.69,28,11.08
13.50,27.44,2.00,-0.19,-2.06,-5.07,17.01,7.98,11.49,21.14,5.94,20.30,4.66,-0.15,8.62,28,12.86
16.69,28.38,1.00,-1.68,-1.01,-5.56,16.11,4.33,8.91,20.86,4.29,17.49,4.75,-0.04,8.57,28,8.06
20.06,29.00,0.25,-1.68,-1.01,-5.56,15.03,4.26,7.37,19.83,4.32,15.92,4.80,0.06,8.55,28,10.85
23.50,29.31,-0.38,-1.97,-0.31,-5.96,11.66,7.00,4.63,16.48,7.17,13.17,4.82,0.17,8.53,28,11.16
30.75,29.50,-2.13,-1.72,-0.30,-6.16,11.75,8.14,4.24,16.58,8.47,12.77,4.85,0.53,8.50,28,10.41
34.56,29.69,-3.56,-1.12,-0.66,-6.59,11.24,7.48,5.66,14.60,5.52,14.45,4.87,0.75,8.47,28,12.38
38.44,29.81,-5.06,-1.12,-0.73,-6.61,9.72,4.76,5.98,14.04,5.82,13.72,4.88,0.95,8.44,28,9.54
42.19,29.88,-6.44,-1.32,-0.79,-6.44,9.16,4.87,5.27,13.56,7.36,13.17,4.89,1.11,8.42,28,9.69
45.88,29.94,-7.50,-1.99,-0.92,-5.86,8.09,7.33,3.99,12.99,8.56,12.39,4.90,1.22,8.40,28,11.3
53.00,30.06,-8.75,-2.45,-0.97,-5.56,7.88,7.56,1.74,12.80,8.86,10.13,4.91,1.29,8.38,28,11.66
56.38,30.13,-8.81,-2.96,-0.99,-5.27,8.10,7.78,1.28,13.03,9.08,9.65,4.93,1.30,8.37,28,9.75
59.69,30.25,-8.56,-3.41,-0.94,-4.97,8.23,8.86,1.06,13.18,10.12,9.44,4.94,1.26,8.37,28,9.93
62.88,30.31,-8.06,-3.75,-0.79,-4.71,9.37,6.18,-0.02,14.41,7.38,7.87,4.94,1.08,8.39,28,11.38
66.00,30.25,-7.31,-3.98,-0.55,-4.54,9.48,6.46,-0.92,14.41,7.42,7.49,4.93,0.95,8.42,28,13.43
72.00,30.00,-5.50,-4.19,-0.15,-4.16,9.50,7.21,-1.21,14.41,8.02,7.23,4.90,0.81,8.45,28,7.49
74.81,29.81,-4.38,-4.23,0.03,-3.93,9.28,6.98,-0.68,14.16,7.63,7.79,4.87,0.65,8.48,28,10.07
77.44,29.56,-3.19,-4.25,0.22,-3.62,9.23,6.49,-0.69,14.07,6.97,7.81,4.79,0.27,8.55,28,11.65
