orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps,ms
7.31,24.00,3.75,0.54,-0.48,-0.44,-0.40,0.14,0.92,3.58,-0.44,9.86,4.03,-0.51,8.92,28,9.05
7.63,24.25,3.31,0.59,-0.45,-0.39,-0.36,0.36,0.92,3.66,-0.15,9.84,4.06,-0.45,8.91,28,10.84
7.75,24.50,2.88,0.59,-0.41,-0.34,-1.16,-0.64,-0.28,2.93,-1.04,8.61,4.10,-0.39,8.89,28,11.05
7.81,24.69,2.50,0.45,-0.33,-0.33,-0.94,-0.59,0.01,3.18,-0.93,8.90,4.13,-0.34,8.88,28,10.69
8.06,25.06,1.94,0.37,-0.31,-0.30,-0.62,-0.25,-0.06,3.53,-0.55,8.80,4.15,-0.30,8.87,28,11.67
8.25,25.19,1.69,0.31,-0.29,-0.26,-0.58,-0.38,-0.60,3.59,-0.65,8.25,4.18,-0.26,8.86,28,13.83
8.31,25.38,1.50,0.24,-0.27,-0.22,-0.78,-0.76,-0.47,3.42,-0.99,8.37,4.20,-0.23,8.85,28,11.41
8.44,25.50,1.38,0.15,-0.27,-0.21,-0.95,-0.73,-0.75,3.27,-0.09,8.33,4.25,-0.19,8.83,28,5.41
8.50,25.63,1.25,0.08,-0.23,-0.18,-0.09,-0.79,-0.73,4.17,-0.98,8.09,4.26,-0.18,8.82,28,12.26
8.56,25.75,1.19,0.07,-0.19,-0.12,-0.66,-0.73,-0.74,3.61,-0.91,8.08,4.28,-0.18,8.82,28,7.95
8.81,25.88,1.13,0.05,-0.16,-0.08,-1.18,-0.54,-0.71,3.11,-0.71,8.09,4.29,-0.17,8.81,28,9.83
8.81,25.94,1.13,-0.03,-0.12,-0.01,-1.18,-0.94,-0.81,3.11,-1.12,7.99,4.30,-0.17,8.81,28,11.56
8.81,26.06,1.19,-0.14,-0.18,0.03,-0.89,-0.77,-0.90,3.42,-0.96,7.89,4.33,-0.21,8.79,28,10.11
8.81,26.25,1.38,-0.22,-0.25,0.08,-0.50,-0.27,-0.45,3.83,-0.48,8.33,4.36,-0.23,8.78,28,9.96
8.75,26.38,1.50,-0.17,-0.28,0.10,1.08,-1.52,0.89,5.44,-1.75,9.67,4.38,-0.23,8.76,28,11.54
8.75,26.50,1.50,-0.00,-0.27,0.04,0.10,-0.43,0.46,4.50,-0.65,9.22,4.39,-0.21,8.76,28,13.62
8.81,26.63,1.38,0.31,-0.05,-0.22,-0.07,-0.17,0.04,4.32,-0.35,8.80,4.40,-0.18,8.76,28,22.3
9.00,26.63,0.81,0.42,0.02,-0.30,0.00,-0.58,-0.88,4.39,-0.71,7.87,4.40,-0.13,8.76,28,7.84
9.19,26.63,0.56,0.39,0.04,-0.30,0.11,-0.39,-1.31,4.51,-0.48,7.44,4.39,-0.08,8.76,28,0.0
9.25,26.63,0.31,0.26,0.03,-0.22,0.25,-0.02,-1.50,4.48,-0.25,6.91,4.39,-0.04,8.76,28,16.78
9.31,26.63,0.31,0.04,-0.05,-0.07,-0.14,-0.47,-1.80,4.26,-0.54,6.95,4.41,-0.07,8.75,28,5.05
9.25,26.69,0.44,-0.45,-0.19,0.23,-0.05,-0.37,-1.82,4.37,-0.49,6.92,4.42,-0.11,8.74,28,9.36
9.19,26.81,0.75,-0.59,-0.21,0.33,0.65,-0.24,-1.35,5.10,-0.42,7.38,4.44,-0.18,8.74,28,11.68
9.00,27.00,1.63,-0.69,-0.19,0.39,2.02,-0.45,0.88,6.48,-0.71,9.61,4.45,-0.25,8.73,28,6.73
8.88,27.13,2.13,-0.67,-0.26,0.41,-0.86,2.57,-1.95,3.61,2.23,6.76,4.49,-0.39,8.70,28,28.91
8.69,27.25,2.56,-0.51,-0.16,0.48,3.29,0.22,-0.46,6.36,0.00,8.38,4.51,-0.44,8.69,28,5.82
8.44,27.38,2.94,-0.39,-0.26,0.48,1.85,0.45,-0.30,6.60,-0.11,7.59,4.52,-0.48,8.68,28,6.45
8.25,27.44,3.19,-0.20,-0.22,0.47,2.07,0.37,-1.09,6.79,0.05,7.80,4.53,-0.50,8.68,28,0.92
8.00,27.50,3.31,0.14,-0.08,0.34,2.38,0.75,-1.03,6.92,0.24,7.64,4.54,-0.50,8.67,28,24.83
7.56,27.56,3.31,0.25,-0.03,0.33,1.97,1.62,-1.25,6.51,1.11,7.41,4.53,-0.49,8.67,28,0.93
7.31,27.56,3.19,0.31,0.01,0.35,2.03,1.17,-1.67,6.57,0.68,7.00,4.53,-0.48,8.68,28,8.36
7.06,27.50,3.19,0.30,-0.00,0.42,2.10,0.83,-2.22,6.63,0.34,6.45,4.53,-0.49,8.68,28,9.81
6.81,27.50,3.19,0.19,-0.02,0.49,1.34,0.39,-2.01,5.71,-0.09,7.11,4.53,-0.51,8.67,28,11.04
6.50,27.50,3.38,-0.13,-0.10,0.57,1.64,0.33,-0.84,6.18,-0.21,7.82,4.54,-0.54,8.67,28,13.02
5.81,27.63,3.94,-0.24,-0.16,0.70,2.55,1.85,-1.02,7.10,1.25,7.64,4.55,-0.59,8.66,28,10.55
5.50,27.69,4.31,-0.29,-0.16,0.85,1.52,1.61,-1.52,6.08,0.95,7.13,4.56,-0.66,8.65,28,7.33
5.06,27.69,4.69,-0.22,-0.09,0.81,2.50,0.87,-0.73,7.07,0.15,7.91,4.56,-0.71,8.65,28,10.31
4.69,27.63,4.94,-0.01,0.04,0.70,2.31,1.05,-0.13,6.77,0.55,8.46,4.53,-0.76,8.66,28,26.67
4.31,27.50,5.00,0.27,0.25,0.49,1.63,0.82,-0.59,6.14,0.06,8.08,4.50,-0.75,8.67,28,16.99
4.00,27.31,5.00,0.30,0.22,0.42,1.12,1.48,-0.61,5.61,0.73,8.07,4.48,-0.75,8.68,28,9.14
3.81,27.19,4.94,0.29,0.16,0.38,0.12,1.25,-0.52,4.60,0.51,8.17,4.47,-0.74,8.69,28,4.51
3.56,27.06,4.88,0.24,-0.00,0.35,0.04,0.76,-0.49,4.51,0.02,8.20,4.46,-0.73,8.69,28,7.02
3.13,27.13,4.81,0.16,-0.14,0.33,-0.02,0.72,-0.48,4.45,-0.01,8.20,4.49,-0.74,8.68,28,4.39
2.94,27.25,4.88,0.04,-0.28,0.30,-0.14,0.88,-0.28,4.35,0.13,8.39,4.53,-0.76,8.66,28,6.31
2.81,27.50,5.00,-0.03,-0.44,0.25,-0.56,0.78,-0.50,3.97,0.02,8.15,4.57,-0.77,8.63,28,24.17
2.69,27.81,5.06,-0.06,-0.54,0.14,-0.25,0.41,-0.07,4.37,-0.36,8.53,4.62,-0.77,8.61,28,9.09
2.69,28.13,5.13,-0.04,-0.61,-0.16,-0.16,0.18,-0.56,4.51,-0.58,8.01,4.68,-0.77,8.58,28,0.21
2.94,28.81,5.06,-0.03,-0.59,-0.30,0.61,0.31,-1.58,5.34,-0.45,6.96,4.73,-0.76,8.55,28,16.54
3.19,29.13,5.00,-0.04,-0.57,-0.40,0.43,-0.80,-1.55,5.21,-1.55,6.97,4.78,-0.74,8.52,28,3.93
3.44,29.50,4.94,-0.16,-0.55,-0.43,-0.32,1.39,-2.04,4.50,0.65,6.45,4.87,-0.74,8.47,28,10.26
3.69,29.81,4.94,-0.23,-0.52,-0.40,-0.03,0.18,-1.73,4.11,-0.78,8.37,4.92,-0.74,8.44,28,10.33
3.94,30.06,5.06,-0.31,-0.51,-0.37,0.28,0.90,-3.03,5.25,0.13,5.38,4.96,-0.76,8.42,28,10.0
4.19,30.38,5.19,-0.44,-0.48,-0.35,0.18,1.11,-1.58,5.18,0.32,6.81,4.99,-0.79,8.40,28,11.0
4.69,30.63,5.31,-0.46,-0.40,-0.34,-0.15,0.82,-2.14,4.87,0.00,6.23,5.02,-0.81,8.38,28,8.98
4.94,30.81,5.56,-0.58,-0.23,-0.24,-0.39,0.36,-2.58,4.64,-0.48,5.78,5.04,-0.85,8.36,28,10.93
5.38,31.06,6.13,-0.70,-0.15,-0.20,-0.74,0.78,-2.59,4.31,-0.11,5.75,5.07,-0.95,8.33,28,10.66
5.56,31.13,6.56,-0.83,-0.09,-0.14,-0.41,0.70,-2.13,4.65,-0.25,6.20,5.07,-1.03,8.32,28,10.08
5.81,31.13,7.06,-0.98,-0.03,-0.04,-0.63,0.57,-1.43,4.58,-0.77,7.24,5.06,-1.12,8.31,28,9.65
6.00,31.06,7.69,-1.11,0.05,0.04,-0.61,0.67,-0.58,4.44,-0.56,7.73,5.05,-1.23,8.31,28,13.01
6.13,31.00,8.38,-1.29,0.21,0.11,-0.59,0.52,0.05,4.44,-0.81,8.36,5.03,-1.34,8.30,28,11.32
6.44,30.75,9.88,-1.31,0.27,0.09,-0.43,0.38,0.63,4.57,-1.06,8.93,5.01,-1.45,8.30,28,8.99
6.63,30.56,10.56,-1.28,0.34,0.03,-0.37,0.52,0.93,4.61,-1.02,9.22,4.98,-1.55,8.29,28,23.59
6.88,30.31,11.19,-1.21,0.39,-0.05,-0.53,0.56,1.55,4.47,-1.25,10.10,4.92,-1.73,8.30,28,9.46
7.13,30.13,11.75,-1.12,0.43,-0.13,-0.29,0.27,2.13,4.60,-1.52,10.44,4.89,-1.80,8.30,28,0.89
7.44,29.94,12.25,-0.86,0.43,-0.31,-0.38,0.39,2.55,4.47,-1.46,10.86,4.86,-1.85,8.30,28,10.19
7.75,29.69,12.56,-0.69,0.39,-0.42,-0.44,0.33,2.34,4.39,-1.55,10.65,4.84,-1.89,8.31,28,10.97
8.50,29.44,12.88,-0.49,0.34,-0.52,-0.46,0.24,2.18,4.35,-1.66,10.50,4.82,-1.90,8.32,28,10.48
8.94,29.38,12.88,-0.31,0.28,-0.60,-0.57,0.19,2.18,4.23,-1.71,10.51,4.80,-1.89,8.33,28,22.28
9.31,29.31,12.75,-0.19,0.22,-0.65,-0.81,-0.30,2.65,3.27,-3.73,9.50,4.80,-1.87,8.34,28,16.59
9.69,29.31,12.63,-0.12,0.14,-0.66,-1.18,0.95,2.16,3.62,-0.90,10.50,4.80,-1.85,8.34,28,5.15
10.06,29.31,12.50,-0.15,0.09,-0.63,0.37,-0.44,1.89,5.19,-2.28,10.24,4.81,-1.83,8.34,28,0.0
10.75,29.50,12.31,-0.06,-0.13,-0.50,-0.45,-1.93,1.23,4.37,-3.75,9.56,4.83,-1.81,8.33,28,11.33
11.00,29.69,12.19,-0.10,-0.17,-0.54,-1.64,-0.68,1.71,3.65,-1.70,10.11,4.88,-1.78,8.31,28,12.1
11.38,29.88,12.13,-0.19,-0.18,-0.61,-1.22,0.08,1.80,4.70,-2.83,10.03,4.91,-1.77,8.29,28,10.82
11.75,30.06,12.06,-0.20,-0.23,-0.58,-0.21,-1.05,1.73,4.24,-2.90,10.01,4.94,-1.76,8.28,28,9.67
12.06,30.25,12.00,-0.21,-0.23,-0.58,-0.73,-0.53,1.57,4.23,-2.29,9.84,4.97,-1.75,8.26,28,11.97
12.75,30.63,11.88,-0.14,-0.17,-0.59,-0.43,-1.01,1.62,4.56,-2.74,9.88,4.99,-1.73,8.25,28,11.09
13.13,30.75,11.69,-0.05,-0.14,-0.60,-0.38,-1.17,1.35,4.63,-2.88,9.60,5.01,-1.71,8.24,28,22.12
13.44,30.88,11.56,0.00,-0.11,-0.55,-0.64,-1.13,0.98,4.38,-2.82,9.22,5.05,-1.66,8.23,28,0.0
13.69,31.00,11.38,0.00,-0.11,-0.55,-0.42,-1.03,-0.08,4.64,-2.67,8.14,5.07,-1.63,8.23,28,13.09
14.00,31.13,11.25,-0.08,-0.19,-0.41,-1.29,-1.55,-0.53,3.80,-3.18,7.68,5.09,-1.62,8.22,28,10.12
14.38,31.50,11.25,-0.29,-0.38,-0.26,-0.47,-1.32,-0.32,4.65,-2.96,7.86,5.12,-1.63,8.19,28,9.59
14.63,31.81,11.44,-0.39,-0.55,-0.17,-1.45,-0.45,0.44,3.71,-2.11,8.60,5.17,-1.65,8.16,28,9.92
14.69,32.19,11.69,-0.45,-0.68,-0.09,-1.50,-1.07,-0.53,3.72,-2.24,7.83,5.28,-1.72,8.07,28,17.0
14.75,32.63,12.00,-0.49,-0.76,-0.07,-0.88,-0.61,-0.67,4.46,-2.36,7.35,5.35,-1.75,8.02,28,5.07
14.81,33.06,12.31,-0.35,-0.77,-0.08,0.03,-0.31,-0.73,5.45,-2.09,7.24,5.41,-1.77,7.98,28,11.5
14.88,33.50,12.50,-0.26,-0.78,-0.14,-0.41,-0.03,0.02,5.06,-1.82,7.96,5.47,-1.79,7.93,28,9.0
15.00,34.38,12.81,-0.18,-0.85,-0.11,-1.27,1.40,0.90,4.26,-0.39,8.78,5.54,-1.79,7.88,28,10.0
15.06,34.88,12.88,-0.06,-0.84,-0.10,-1.81,1.30,0.11,3.84,-1.48,7.46,5.67,-1.78,7.79,28,10.99
15.06,35.31,12.88,0.09,-0.79,-0.13,-1.82,0.30,-0.33,3.70,-1.40,7.85,5.72,-1.75,7.76,28,10.72
15.06,35.69,12.69,0.21,-0.69,-0.21,-2.01,0.35,0.09,4.05,-1.66,7.70,5.77,-1.71,7.73,28,8.99
15.19,36.06,12.44,0.33,-0.56,-0.30,-1.12,-0.60,0.82,4.68,-2.26,8.54,5.81,-1.66,7.72,28,11.44
15.25,36.31,12.13,0.40,-0.45,-0.43,-2.82,0.07,0.23,3.03,-1.52,7.93,5.85,-1.60,7.70,28,10.98
15.56,36.94,11.38,0.44,-0.44,-0.44,-0.94,-0.07,1.19,4.94,-1.62,8.88,5.92,-1.48,7.67,28,11.01
15.69,37.13,10.94,0.48,-0.33,-0.41,-0.42,0.05,0.73,5.50,-1.43,8.40,5.92,-1.48,7.67,28,9.84
15.94,37.31,10.56,0.51,-0.29,-0.36,-2.20,0.52,0.20,3.74,-0.91,7.86,5.96,-1.37,7.65,28,12.99
16.00,37.44,10.13,0.52,-0.18,-0.34,-1.45,0.01,-0.57,4.51,-1.29,7.08,5.97,-1.31,7.66,28,9.0
16.13,37.50,9.69,0.47,0.07,-0.33,-0.82,0.25,-0.28,5.14,-1.00,7.39,5.97,-1.25,7.67,28,13.82
16.31,37.44,8.94,0.38,0.20,-0.28,-0.98,-0.07,-0.14,4.98,-1.28,7.54,5.96,-1.21,7.68,28,8.15
16.56,37.25,8.69,0.24,0.30,-0.24,-0.55,-0.15,-0.13,5.38,-1.34,7.57,5.94,-1.18,7.70,28,10.19
16.69,37.06,8.56,0.09,0.37,-0.20,-0.33,-0.09,0.18,5.58,-1.26,7.91,5.88,-1.15,7.75,28,13.36
16.81,36.88,8.50,-0.05,0.41,-0.16,-0.11,-0.25,0.14,5.82,-1.22,8.00,5.85,-1.16,7.77,28,19.39
16.94,36.63,8.44,-0.14,0.44,-0.16,-0.77,0.51,0.34,5.05,-0.64,8.14,5.82,-1.16,7.80,28,28.98
17.06,36.44,8.44,-0.06,0.49,-0.19,0.59,-0.58,-0.49,6.39,-1.73,7.33,5.79,-1.15,7.82,28,5.02
17.25,36.19,8.38,-0.05,0.52,-0.31,0.13,-0.69,-0.30,5.89,-1.83,7.54,5.75,-1.14,7.85,28,10.91
17.75,35.69,8.06,-0.06,0.49,-0.43,0.10,-0.37,-0.22,5.83,-1.49,7.65,5.72,-1.12,7.88,28,0.92
18.00,35.50,7.88,0.02,0.42,-0.47,0.46,0.97,-0.19,6.32,-0.36,7.41,5.67,-1.06,7.92,28,8.18
18.25,35.31,7.56,0.10,0.36,-0.50,0.65,0.70,-0.51,6.12,-0.45,7.22,5.65,-1.01,7.94,28,9.26
18.56,35.19,7.25,0.20,0.32,-0.53,0.47,0.56,-0.72,5.74,-0.46,7.41,5.63,-0.96,7.96,28,0.0
18.81,35.06,6.88,0.27,0.27,-0.55,-0.12,1.32,-1.36,5.50,0.41,6.61,5.62,-0.91,7.98,28,12.72
19.31,34.88,6.06,0.39,0.25,-0.52,0.36,1.29,-1.33,5.97,0.43,6.65,5.61,-0.85,7.99,28,10.88
19.50,34.75,5.63,0.39,0.25,-0.50,0.34,-0.27,-1.50,5.93,-1.06,6.50,5.59,-0.79,8.01,28,9.28
19.69,34.63,5.25,0.32,0.27,-0.44,0.78,0.68,-1.49,6.36,-0.06,6.53,5.57,-0.74,8.03,28,12.1
19.88,34.50,5.00,0.24,0.27,-0.35,0.29,0.92,-1.37,6.02,-0.13,6.87,5.54,-0.67,8.06,28,11.0
20.00,34.38,4.75,0.19,0.27,-0.27,0.20,0.28,-0.91,5.72,-0.36,7.16,5.52,-0.65,8.07,28,10.3
20.13,34.25,4.63,0.09,0.27,-0.20,0.21,0.01,-0.47,5.72,-0.62,7.61,5.50,-0.63,8.09,28,9.82
20.19,34.06,4.50,0.08,0.28,-0.21,0.77,0.80,-0.96,6.25,0.18,7.14,5.48,-0.62,8.10,28,9.24
20.31,33.94,4.38,0.10,0.32,-0.19,0.86,0.58,-0.61,6.32,-0.02,7.51,5.45,-0.60,8.12,28,11.83
20.50,33.63,4.06,0.11,0.31,-0.18,0.73,0.70,-0.38,6.17,0.11,7.75,5.40,-0.56,8.16,28,10.04
20.56,33.44,3.94,0.13,0.30,-0.19,0.78,0.53,-0.43,6.15,0.06,7.80,5.38,-0.54,8.17,28,11.63
20.69,33.31,3.75,0.13,0.29,-0.19,0.76,0.61,-0.36,6.33,0.20,8.38,5.36,-0.52,8.19,28,11.06
20.81,33.13,3.63,0.12,0.27,-0.20,0.96,0.73,0.19,6.10,0.26,8.43,5.35,-0.50,8.20,28,7.05
