orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps,ms
280.31,-70.88,-127.88,-0.93,0.52,-1.48,-1.26,-1.22,-1.58,-10.55,1.18,-3.57,-9.29,2.41,-1.99,28,11.05
280.50,-71.75,-131.31,-0.99,0.56,-1.48,-1.42,-1.21,-1.51,-10.74,1.07,-3.53,-9.31,2.29,-2.02,28,11.27
280.56,-72.13,-133.13,-1.06,0.62,-1.46,-1.49,-1.22,-1.46,-10.83,0.96,-3.51,-9.33,2.18,-2.05,28,14.42
280.50,-72.44,-135.13,-1.14,0.68,-1.44,-1.46,-1.06,-1.12,-10.83,0.93,-3.12,-9.36,1.97,-2.13,28,8.15
280.31,-72.69,-137.19,-1.30,0.82,-1.39,-1.53,-1.10,-0.85,-10.90,0.77,-3.04,-9.37,1.87,-2.18,28,12.76
279.75,-73.00,-141.44,-1.39,0.89,-1.37,-1.62,-1.14,-0.80,-11.00,0.63,-3.05,-9.37,1.78,-2.24,28,11.74
279.44,-73.00,-143.63,-1.47,0.95,-1.33,-1.71,-1.09,-0.41,-11.09,0.59,-2.71,-9.38,1.69,-2.30,28,10.94
278.94,-73.00,-145.75,-1.53,0.98,-1.30,-1.81,-1.16,-0.33,-11.46,0.28,-2.81,-9.37,1.53,-2.43,28,9.19
278.44,-72.88,-147.81,-1.56,1.01,-1.27,-2.53,-1.45,-0.11,-11.90,0.00,-2.62,-9.36,1.45,-2.50,28,22.76
277.38,-72.56,-151.81,-1.52,1.09,-1.22,-4.18,-2.86,2.38,-13.54,-1.47,-0.20,-9.35,1.38,-2.58,28,0.32
277.00,-72.38,-153.63,-1.34,0.95,-1.17,-3.65,-2.10,3.11,-13.00,-0.78,0.45,-9.34,1.31,-2.65,28,11.33
276.81,-72.31,-155.50,-1.09,0.72,-1.19,-3.33,-5.49,6.24,-14.81,-4.54,1.63,-9.35,1.13,-2.72,28,11.74
277.00,-72.44,-157.38,-0.70,0.27,-1.31,-10.92,-10.12,7.52,-20.29,-9.09,4.80,-9.36,1.03,-2.72,28,9.94
277.31,-72.69,-159.25,-0.19,0.41,-0.71,-8.42,-7.71,4.81,-17.78,-6.73,2.05,-9.35,0.97,-2.76,28,12.98
277.56,-72.63,-160.63,0.35,0.57,-0.33,0.23,-1.20,3.53,-9.10,-0.27,0.71,-9.34,0.93,-2.81,28,12.63
278.56,-72.19,-162.81,0.54,0.40,-0.37,-0.92,-2.05,0.78,-10.26,-1.17,-2.07,-9.33,0.82,-2.88,28,10.59
279.19,-72.13,-164.06,0.45,0.29,-0.54,-0.59,-4.19,-1.26,-9.10,-1.51,-3.33,-9.33,0.74,-2.91,28,6.66
279.81,-72.13,-165.56,0.34,0.23,-0.72,-0.96,-0.80,-0.77,-10.30,-0.14,-3.69,-9.33,0.65,-2.92,28,11.57
280.50,-72.19,-167.31,0.13,0.03,-1.00,-1.60,-0.19,-1.17,-10.94,0.37,-4.09,-9.34,0.56,-2.92,28,12.31
281.81,-72.44,-170.75,0.09,-0.06,-0.93,-1.81,0.53,-1.65,-11.16,1.01,-4.57,-9.34,0.47,-2.91,28,9.5
282.31,-72.56,-172.13,0.07,-0.16,-0.81,-1.35,1.52,-2.88,-10.91,2.16,-6.53,-9.36,0.33,-2.88,28,16.27
282.75,-72.75,-173.31,0.00,-0.26,-0.69,-1.55,1.82,-3.65,-11.38,2.21,-6.93,-9.37,0.28,-2.85,28,17.27
282.94,-72.94,-174.19,-0.11,-0.31,-0.57,-2.01,1.93,-4.08,-11.28,2.21,-6.38,-9.38,0.25,-2.83,28,1.05
283.19,-73.13,-174.75,-0.25,-0.13,-0.19,0.22,0.07,-0.05,-9.16,0.32,-2.87,-9.38,0.24,-2.81,28,14.27
283.06,-73.25,-174.94,-0.13,-0.08,-0.05,-0.94,-0.40,-2.41,-10.33,-0.15,-5.22,-9.39,0.24,-2.81,28,10.96
283.00,-73.25,-174.81,-0.06,-0.03,0.04,-0.12,0.36,-2.20,-8.99,-0.03,-3.67,-9.39,0.25,-2.81,28,10.18
282.94,-73.25,-174.69,-0.03,0.05,0.06,0.39,-0.28,-0.86,-9.43,-0.15,-3.92,-9.38,0.26,-2.81,28,13.1
283.13,-73.19,-174.69,0.04,0.07,0.05,-0.43,-0.31,-1.02,-9.81,-0.04,-3.85,-9.38,0.26,-2.82,28,7.87
283.13,-73.06,-174.44,0.05,0.10,0.11,0.02,-0.47,-0.90,-9.36,-0.19,-3.74,-9.38,0.27,-2.83,28,11.57
283.06,-73.00,-174.25,0.06,0.09,0.12,0.16,-0.25,-0.51,-9.21,0.03,-3.36,-9.37,0.29,-2.85,28,11.4
283.06,-73.00,-174.13,0.07,0.08,0.11,-0.46,-0.89,1.47,-9.84,-0.60,-1.37,-9.37,0.30,-2.86,28,13.5
283.13,-72.94,-173.94,-0.05,0.10,0.09,0.85,0.25,-0.63,-9.62,0.00,-3.79,-9.37,0.31,-2.86,28,8.36
283.00,-72.88,-173.75,0.04,-0.11,0.12,0.05,-0.52,-0.69,-9.32,-0.20,-3.54,-9.37,0.32,-2.85,28,12.99
283.00,-73.06,-173.25,0.07,-0.23,0.14,0.01,-0.42,-0.76,-9.37,-0.08,-3.60,-9.38,0.33,-2.83,28,10.19
282.94,-73.25,-172.94,0.09,-0.30,0.17,-0.03,-0.41,-1.03,-9.43,-0.06,-3.84,-9.39,0.34,-2.80,28,11.21
282.94,-73.38,-172.56,0.12,-0.34,0.19,-0.04,-0.16,-1.17,-9.44,0.19,-3.94,-9.40,0.37,-2.74,28,10.9
283.00,-73.56,-172.19,0.15,-0.34,0.21,-0.16,-0.03,-1.15,-9.58,0.35,-3.87,-9.41,0.38,-2.71,28,11.07
283.00,-73.75,-171.88,0.18,-0.30,0.15,0.21,-0.43,-0.91,-9.20,-0.04,-3.60,-9.42,0.39,-2.68,28,12.2
283.13,-74.06,-171.31,0.15,-0.30,0.13,0.33,-0.08,-0.79,-9.09,0.31,-3.45,-9.42,0.40,-2.66,28,10.92
283.25,-74.19,-171.06,0.11,-0.31,0.13,0.51,0.37,-0.76,-8.91,0.79,-3.39,-9.43,0.41,-2.63,28,11.44
283.25,-74.38,-170.81,0.08,-0.33,0.09,1.18,0.81,-1.07,-8.47,0.29,-3.85,-9.45,0.41,-2.57,28,9.92
283.31,-74.56,-170.81,0.03,-0.35,-0.03,1.59,-0.47,-1.90,-7.86,-0.05,-4.43,-9.46,0.41,-2.53,28,11.66
283.25,-74.81,-170.63,-0.06,-0.43,0.16,0.34,-1.17,-2.49,-9.13,-0.74,-4.98,-9.47,0.43,-2.49,28,9.34
283.13,-75.19,-169.63,0.03,-0.37,0.18,0.67,-1.80,-1.82,-8.80,-1.35,-4.29,-9.48,0.44,-2.46,28,11.49
283.13,-75.31,-169.31,0.01,-0.24,0.10,0.99,0.00,-1.50,-8.14,-0.44,-4.48,-9.49,0.46,-2.42,28,10.83
283.00,-75.38,-169.13,-0.08,-0.18,0.04,0.59,-0.98,-2.16,-8.90,-0.51,-4.56,-9.49,0.46,-2.40,28,11.97
282.94,-75.50,-168.94,-0.02,-0.25,0.10,-0.77,0.91,-1.60,-10.27,1.39,-3.97,-9.50,0.47,-2.37,28,11.0
282.94,-75.75,-168.38,0.03,-0.20,0.05,3.56,-0.16,-0.59,-5.93,0.31,-2.95,-9.50,0.48,-2.35,28,10.65
282.81,-75.88,-168.06,-0.08,-0.22,0.07,0.00,0.44,-2.20,-9.51,0.93,-4.53,-9.51,0.49,-2.33,28,11.64
282.69,-76.00,-167.63,-0.16,-0.32,0.11,0.36,-0.93,-1.44,-8.22,-0.34,-3.62,-9.52,0.52,-2.27,28,12.71
282.50,-76.19,-167.00,-0.19,-0.36,0.13,1.41,-0.71,-1.79,-8.11,-0.16,-4.03,-9.53,0.54,-2.23,28,10.62
282.25,-76.38,-166.31,-0.24,-0.42,0.17,1.23,-0.66,-1.73,-8.30,-0.09,-3.92,-9.54,0.56,-2.18,28,13.54
281.63,-76.88,-164.38,-0.28,-0.50,0.25,1.27,0.05,-1.55,-8.27,0.64,-3.69,-9.55,0.59,-2.14,28,8.66
281.31,-77.06,-163.38,-0.27,-0.43,0.24,1.63,-0.22,-1.28,-7.92,0.39,-3.38,-9.56,0.65,-2.06,28,11.91
281.00,-77.19,-162.38,-0.23,-0.34,0.26,1.50,0.34,-1.47,-7.87,0.68,-3.54,-9.56,0.68,-2.04,28,12.2
280.75,-77.25,-161.56,-0.20,-0.22,0.25,1.68,0.00,-1.50,-8.04,0.54,-3.46,-9.56,0.70,-2.03,28,12.7
280.50,-77.31,-160.81,-0.21,-0.11,0.22,1.27,-0.18,-1.30,-8.29,0.54,-3.33,-9.56,0.72,-2.03,28,7.42
280.06,-77.19,-159.69,-0.15,0.05,0.20,0.77,-0.36,-1.21,-8.78,0.38,-3.25,-9.56,0.75,-2.03,28,13.2
279.81,-77.13,-159.31,-0.15,0.09,0.17,0.80,-0.41,-1.10,-8.75,0.35,-3.14,-9.55,0.78,-2.04,28,8.93
279.63,-77.06,-159.06,-0.16,0.10,0.11,0.81,-0.28,-0.98,-8.74,0.49,-3.03,-9.55,0.79,-2.05,28,12.38
279.56,-77.00,-158.88,-0.19,0.07,0.05,0.61,-0.27,-0.99,-8.99,0.23,-3.26,-9.55,0.79,-2.05,28,12.42
279.44,-77.00,-158.81,-0.20,-0.02,-0.03,0.63,-0.83,-1.32,-8.91,-0.04,-3.37,-9.55,0.79,-2.05,28,8.38
279.19,-77.06,-158.63,-0.19,-0.07,-0.03,0.44,-0.86,-1.28,-9.11,-0.06,-3.33,-9.55,0.79,-2.04,28,10.92
279.06,-77.06,-158.50,-0.16,-0.09,-0.01,1.10,-0.06,-0.63,-8.45,0.73,-2.67,-9.55,0.80,-2.03,28,10.73
279.00,-77.13,-158.31,-0.08,-0.07,0.02,-1.20,-1.92,-2.83,-8.45,0.20,-2.62,-9.56,0.80,-2.02,28,11.07
278.94,-77.13,-158.19,-0.08,-0.04,0.02,0.36,-0.79,-1.20,-9.20,0.00,-3.22,-9.56,0.80,-2.02,28,12.37
278.94,-77.06,-158.50,-0.00,0.10,-0.06,0.26,-1.48,-1.72,-9.29,-0.68,-3.75,-9.55,0.80,-2.03,28,13.69
279.00,-77.00,-158.88,0.02,0.16,-0.10,0.11,-0.89,-1.36,-9.43,-0.10,-3.41,-9.55,0.79,-2.05,28,14.94
279.06,-76.94,-159.25,-0.02,0.15,-0.12,0.32,-1.25,-1.24,-9.22,-0.47,-3.30,-9.55,0.77,-2.06,28,3.57
279.13,-76.94,-159.56,-0.04,0.06,-0.11,-0.09,-0.55,-0.97,-9.65,0.20,-3.04,-9.55,0.76,-2.06,28,10.42
279.13,-77.00,-159.69,-0.08,-0.15,-0.07,0.26,-0.61,-1.09,-9.29,0.14,-3.14,-9.55,0.75,-2.05,28,16.16
279.06,-77.19,-159.50,-0.08,-0.22,-0.04,0.19,-0.32,-1.30,-9.36,0.43,-3.33,-9.56,0.75,-2.02,28,6.52
279.06,-77.38,-159.38,-0.08,-0.27,-0.04,0.54,-0.40,-1.76,-9.02,0.34,-3.76,-9.57,0.75,-2.00,28,10.91
279.06,-77.50,-159.19,-0.09,-0.27,-0.06,0.61,-0.43,-1.78,-8.74,0.25,-3.77,-9.58,0.74,-1.95,28,13.4
279.06,-77.69,-159.13,-0.10,-0.25,-0.09,1.11,-0.61,-1.79,-8.46,0.11,-3.73,-9.58,0.73,-1.93,28,10.33
279.06,-77.88,-159.38,-0.10,-0.09,-0.14,1.13,-0.64,-1.98,-8.45,0.07,-3.91,-9.58,0.72,-1.92,28,12.36
279.13,-77.88,-159.81,-0.07,0.02,-0.18,1.08,-0.61,-1.99,-8.50,0.09,-3.92,-9.58,0.70,-1.92,28,9.13
279.25,-77.88,-160.44,-0.06,0.13,-0.22,1.09,-0.54,-1.93,-8.68,0.17,-4.11,-9.58,0.66,-1.95,28,12.63
279.31,-77.81,-161.19,-0.06,0.22,-0.26,1.02,-0.61,-1.99,-8.55,0.02,-3.97,-9.58,0.63,-1.98,28,10.69
279.44,-77.69,-162.13,-0.08,0.28,-0.36,0.82,-0.47,-1.79,-8.75,0.13,-3.80,-9.57,0.60,-2.00,28,11.76
279.56,-77.63,-163.19,-0.10,0.26,-0.39,0.62,-0.47,-1.76,-8.95,0.09,-3.79,-9.57,0.57,-2.03,28,11.24
279.81,-77.44,-165.31,-0.12,0.23,-0.40,0.58,-0.45,-1.77,-8.98,0.07,-3.82,-9.57,0.53,-2.05,28,11.0
279.94,-77.44,-166.31,-0.15,0.18,-0.40,0.50,-0.25,-1.79,-9.12,0.35,-3.86,-9.57,0.47,-2.08,28,10.16
280.06,-77.38,-167.19,-0.17,0.13,-0.37,0.38,-0.07,-1.67,-9.19,0.37,-3.76,-9.57,0.44,-2.08,28,12.54
280.06,-77.38,-167.94,-0.19,0.10,-0.32,0.30,0.00,-1.61,-9.26,0.43,-3.70,-9.57,0.42,-2.09,28,9.22
280.06,-77.38,-168.44,-0.24,0.06,-0.18,0.36,0.00,-1.56,-9.20,0.41,-3.66,-9.57,0.41,-2.10,28,13.51
279.88,-77.38,-168.88,-0.27,0.02,-0.11,0.30,-0.02,-1.42,-9.26,0.39,-3.52,-9.57,0.41,-2.09,28,11.02
279.69,-77.38,-168.81,-0.28,-0.02,-0.04,0.29,-0.07,-1.36,-9.31,0.23,-3.52,-9.57,0.41,-2.09,28,9.62
279.50,-77.38,-168.69,-0.27,-0.04,0.01,0.25,-0.18,-1.43,-9.26,0.27,-3.58,-9.57,0.43,-2.08,28,11.07
279.31,-77.44,-168.31,-0.27,-0.07,0.07,0.30,-0.13,-1.46,-9.25,0.30,-3.58,-9.56,0.43,-2.12,28,10.28
278.94,-77.00,-168.31,-0.26,-0.08,0.07,0.39,-0.12,-1.43,-9.15,0.31,-3.59,-9.55,0.44,-2.15,28,12.6
278.75,-76.81,-168.38,-0.23,-0.08,0.05,0.39,-0.17,-1.39,-9.15,0.28,-3.58,-9.53,0.45,-2.22,28,9.69
278.63,-76.56,-168.50,-0.22,-0.08,0.03,0.53,-0.19,-1.41,-9.00,0.26,-3.63,-9.53,0.45,-2.22,28,10.76
278.56,-76.38,-168.69,-0.21,-0.07,0.00,0.44,-0.28,-1.35,-9.01,0.25,-3.54,-9.52,0.44,-2.29,28,11.4
278.44,-76.19,-169.00,-0.21,-0.06,-0.03,0.48,-0.25,-1.16,-9.02,0.17,-3.49,-9.51,0.43,-2.33,28,11.19
278.38,-75.81,-169.81,-0.20,-0.04,-0.08,0.41,-0.53,-1.07,-9.09,-0.10,-3.43,-9.50,0.42,-2.36,28,11.42
278.31,-75.81,-169.88,-0.21,-0.03,-0.09,0.38,-0.65,-1.11,-9.12,-0.23,-3.47,-9.50,0.41,-2.35,28,11.16
278.19,-75.81,-170.00,-0.21,-0.01,-0.10,0.47,-0.60,-1.02,-9.03,-0.19,-3.38,-9.51,0.40,-2.35,28,12.12
278.06,-75.88,-170.13,-0.21,0.01,-0.11,0.52,-0.62,-0.74,-8.98,-0.22,-3.10,-9.51,0.40,-2.35,28,9.06
278.00,-75.88,-170.25,-0.17,0.00,-0.13,0.45,-0.72,-0.70,-9.05,-0.32,-3.06,-9.51,0.39,-2.35,28,12.04
277.94,-75.88,-170.63,-0.15,-0.02,-0.13,0.37,-0.69,-0.71,-9.13,-0.30,-3.07,-9.51,0.38,-2.35,28,10.43
277.94,-75.94,-170.81,-0.13,-0.05,-0.12,0.49,-0.65,-0.72,-9.01,-0.27,-3.07,-9.51,0.37,-2.35,28,11.82
277.94,-76.00,-171.00,-0.12,-0.08,-0.13,0.51,-0.70,-0.76,-8.98,-0.36,-3.25,-9.51,0.35,-2.33,28,16.16
277.94,-76.06,-171.25,-0.13,-0.14,-0.16,0.48,-0.74,-0.98,-9.03,-0.41,-3.33,-9.51,0.32,-2.34,28,9.3
278.25,-75.94,-172.94,-0.13,-0.16,-0.16,0.48,-0.66,-0.98,-9.02,-0.37,-3.35,-9.51,0.29,-2.36,28,8.26
278.38,-75.81,-173.69,-0.13,-0.17,-0.16,0.44,-0.59,-1.01,-9.06,-0.33,-3.39,-9.50,0.26,-2.38,28,11.89
278.50,-75.75,-174.44,-0.14,-0.17,-0.16,0.52,-0.51,-1.12,-9.06,-0.09,-3.81,-9.50,0.22,-2.38,28,14.46
278.50,-75.81,-174.63,-0.15,-0.16,-0.15,0.49,-0.33,-1.42,-9.01,-0.12,-3.79,-9.51,0.21,-2.37,28,8.08
278.50,-75.94,-174.88,-0.17,-0.15,-0.13,0.57,-0.36,-1.34,-8.94,-0.16,-3.69,-9.51,0.20,-2.35,28,10.97
278.38,-76.13,-175.13,-0.16,-0.14,-0.10,0.61,-0.28,-1.18,-8.90,-0.08,-3.52,-9.52,0.19,-2.34,28,12.24
278.31,-76.19,-175.19,-0.16,-0.13,-0.07,0.66,-0.35,-1.20,-8.85,-0.16,-3.53,-9.51,0.18,-2.36,28,11.04
278.25,-76.00,-175.50,-0.15,-0.11,-0.04,0.68,-0.34,-1.15,-8.86,-0.20,-3.45,-9.50,0.17,-2.38,28,10.31
278.25,-75.81,-175.75,-0.15,-0.10,-0.02,0.68,-0.38,-1.02,-8.81,-0.21,-3.44,-9.50,0.16,-2.41,28,10.13
278.25,-75.63,-176.00,-0.13,-0.07,0.03,0.58,-0.30,-1.04,-8.91,-0.14,-3.49,-9.49,0.16,-2.44,28,11.73
278.19,-75.31,-176.25,-0.13,-0.06,0.05,0.64,-0.33,-0.98,-8.84,-0.16,-3.46,-9.48,0.16,-2.47,28,12.54
278.13,-75.13,-176.31,-0.12,-0.05,0.08,0.57,-0.26,-0.95,-8.96,-0.13,-3.42,-9.47,0.16,-2.53,28,13.37
278.06,-75.00,-176.31,-0.11,-0.05,0.09,0.57,-0.26,-0.79,-8.88,-0.10,-3.35,-9.46,0.16,-2.55,28,8.31
278.00,-74.81,-176.31,-0.10,-0.04,0.10,0.55,-0.23,-0.80,-8.90,-0.06,-3.39,-9.45,0.16,-2.58,28,13.3
277.94,-74.69,-176.25,-0.08,-0.04,0.10,0.53,-0.28,-0.83,-8.91,-0.11,-3.44,-9.45,0.17,-2.60,28,9.78
277.88,-74.38,-176.19,-0.08,-0.04,0.09,0.53,-0.26,-0.77,-8.90,-0.09,-3.40,-9.44,0.17,-2.64,28,10.03
277.81,-74.25,-176.19,-0.08,-0.03,0.08,0.47,-0.26,-0.70,-9.01,-0.15,-3.28,-9.43,0.17,-2.66,28,11.08
277.75,-74.13,-176.19,-0.07,-0.02,0.07,0.41,-0.33,-0.61,-8.98,-0.18,-3.28,-9.43,0.17,-2.68,28,10.84
